IdImc;IdMes;Lio;Mio;Sio;SD4nio;SD3nio;SD2nio;SD1nio;SD0io;SD1io;SD2io;SD3io;SD4io;Lia;Mia;Sia;SD4nia;SD3nia;SD2nia;SD1nia;SD0ia;SD1ia;SD2ia;SD3ia;SD4ia;Lpo;Mpo;Spo;Sdpo;SD3npo;SD2npo;SD1npo;SD0po;SD1po;SD2po;SD3po;Lpa;Mpa;Spa;Sdpa;SD3npa;SD2npa;SD1npa;SD0pa;SD1pa;SD2pa;SD3pa
113;112;-1.6753;16.1692;0.10214;11.689;12.626;13.564;14.714;16.169;18.086;20.763;24.854;28.945;-1.478;16.258;0.11985;11.128;12.185;13.242;14.559;16.258;18.551;21.857;27.152;32.448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;113;-1.6851;16.2009;0.10259;11.703;12.643;13.583;14.738;16.201;18.132;20.839;25.001;29.163;-1.4803;16.2999;0.12026;11.147;12.208;13.269;14.592;16.3;18.608;21.944;27.305;32.666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;114;-1.6944;16.2333;0.10303;11.718;12.661;13.603;14.763;16.233;18.179;20.916;25.149;29.382;-1.4823;16.3425;0.12067;11.166;12.231;13.296;14.625;16.343;18.666;22.031;27.459;32.886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;115;-1.7032;16.2665;0.10347;11.733;12.679;13.624;14.788;16.266;18.227;20.994;25.299;29.604;-1.4838;16.3858;0.12108;11.185;12.254;13.323;14.659;16.386;18.725;22.12;27.612;33.104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;116;-1.7116;16.3004;0.10391;11.749;12.697;13.645;14.814;16.3;18.276;21.074;25.451;29.828;-1.485;16.4298;0.12148;11.204;12.278;13.352;14.694;16.43;18.785;22.208;27.765;33.321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;117;-1.7196;16.3351;0.10435;11.765;12.716;13.667;14.84;16.335;18.326;21.154;25.605;30.055;-1.4859;16.4746;0.12188;11.224;12.302;13.38;14.729;16.475;18.846;22.298;27.918;33.538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;118;-1.7271;16.3704;0.10478;11.781;12.735;13.689;14.867;16.37;18.376;21.234;25.758;30.282;-1.4864;16.52;0.12228;11.244;12.327;13.41;14.764;16.52;18.907;22.388;28.071;33.755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;119;-1.7341;16.4065;0.10522;11.798;12.755;13.712;14.895;16.406;18.428;21.317;25.915;30.513;-1.4866;16.5663;0.12268;11.265;12.352;13.439;14.801;16.566;18.969;22.479;28.226;33.972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;120;-1.7407;16.4433;0.10566;11.815;12.775;13.735;14.923;16.443;18.48;21.4;26.073;30.746;-1.4864;16.6133;0.12307;11.285;12.378;13.47;14.838;16.613;19.032;22.57;28.378;34.185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;121;-1.7468;16.4807;0.10609;11.832;12.796;13.759;14.952;16.481;18.532;21.483;26.231;30.979;-1.4859;16.6612;0.12346;11.307;12.404;13.501;14.876;16.661;19.096;22.663;28.531;34.399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;122;-1.7525;16.5189;0.10652;11.85;12.817;13.784;14.982;16.519;18.586;21.568;26.391;31.213;-1.4851;16.71;0.12384;11.328;12.43;13.533;14.914;16.71;19.161;22.755;28.683;34.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;123;-1.7578;16.5578;0.10695;11.868;12.838;13.808;15.012;16.558;18.64;21.653;26.552;31.45;-1.4839;16.7595;0.12422;11.35;12.458;13.565;14.954;16.76;19.226;22.849;28.834;34.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;124;-1.7626;16.5974;0.10738;11.886;12.86;13.834;15.043;16.597;18.696;21.739;26.714;31.688;-1.4825;16.81;0.1246;11.373;12.485;13.598;14.994;16.81;19.293;22.943;28.987;35.031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;125;-1.767;16.6376;0.1078;11.905;12.882;13.86;15.074;16.638;18.751;21.826;26.875;31.925;-1.4807;16.8614;0.12497;11.396;12.514;13.631;15.035;16.861;19.36;23.038;29.138;35.238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;126;-1.771;16.6786;0.10823;11.924;12.905;13.886;15.106;16.679;18.808;21.914;27.04;32.166;-1.4787;16.9136;0.12534;11.419;12.542;13.666;15.076;16.914;19.429;23.134;29.29;35.445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;127;-1.7745;16.7203;0.10865;11.943;12.928;13.913;15.139;16.72;18.865;22.002;27.204;32.405;-1.4763;16.9667;0.12571;11.443;12.572;13.7;15.119;16.967;19.498;23.231;29.441;35.651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;128;-1.7777;16.7628;0.10906;11.964;12.952;13.941;15.172;16.763;18.923;22.09;27.367;32.643;-1.4737;17.0208;0.12607;11.467;12.602;13.736;15.162;17.021;19.568;23.328;29.591;35.854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;129;-1.7804;16.8059;0.10948;11.984;12.976;13.969;15.206;16.806;18.982;22.18;27.533;32.885;-1.4708;17.0757;0.12643;11.492;12.632;13.772;15.206;17.076;19.639;23.426;29.742;36.057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;130;-1.7828;16.8497;0.10989;12.004;13.001;13.998;15.241;16.85;19.042;22.271;27.698;33.125;-1.4677;17.1316;0.12678;11.517;12.663;13.81;15.251;17.132;19.712;23.525;29.891;36.257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;131;-1.7847;16.8941;0.1103;12.025;13.026;14.027;15.276;16.894;19.102;22.362;27.863;33.365;-1.4642;17.1883;0.12713;11.543;12.695;13.847;15.297;17.188;19.785;23.624;30.039;36.454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;132;-1.7862;16.9392;0.1107;12.046;13.051;14.056;15.312;16.939;19.163;22.452;28.027;33.602;-1.4606;17.2459;0.12748;11.569;12.727;13.885;15.343;17.246;19.859;23.725;30.189;36.653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;133;-1.7873;16.985;0.1111;12.068;13.077;14.087;15.348;16.985;19.224;22.544;28.192;33.839;-1.4567;17.3044;0.12782;11.595;12.76;13.925;15.39;17.304;19.933;23.825;30.336;36.847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;134;-1.7881;17.0314;0.1115;12.09;13.103;14.117;15.385;17.031;19.287;22.637;28.357;34.077;-1.4526;17.3637;0.12816;11.622;12.793;13.964;15.438;17.364;20.009;23.927;30.484;37.042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;135;-1.7884;17.0784;0.11189;12.112;13.13;14.148;15.422;17.078;19.349;22.729;28.52;34.311;-1.4482;17.4238;0.12849;11.65;12.827;14.004;15.487;17.424;20.086;24.029;30.63;37.231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;136;-1.7884;17.1262;0.11228;12.134;13.157;14.18;15.461;17.126;19.413;22.822;28.684;34.545;-1.4436;17.4847;0.12882;11.677;12.861;14.045;15.536;17.485;20.163;24.131;30.776;37.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;137;-1.788;17.1746;0.11266;12.157;13.185;14.212;15.499;17.175;19.477;22.915;28.846;34.776;-1.4389;17.5464;0.12914;11.706;12.896;14.087;15.586;17.546;20.241;24.234;30.92;37.606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;138;-1.7873;17.2236;0.11304;12.181;13.213;14.245;15.539;17.224;19.542;23.009;29.008;35.006;-1.4339;17.6088;0.12946;11.734;12.931;14.129;15.637;17.609;20.32;24.338;31.064;37.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;139;-1.7861;17.2734;0.11342;12.204;13.241;14.278;15.578;17.273;19.607;23.104;29.169;35.235;-1.4288;17.6719;0.12978;11.763;12.967;14.171;15.688;17.672;20.4;24.442;31.209;37.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;140;-1.7846;17.324;0.11379;12.228;13.27;14.312;15.619;17.324;19.674;23.199;29.329;35.46;-1.4235;17.7357;0.13009;11.792;13.003;14.214;15.74;17.736;20.48;24.546;31.351;38.155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;141;-1.7828;17.3752;0.11415;12.253;13.3;14.347;15.66;17.375;19.741;23.293;29.487;35.681;-1.418;17.8001;0.1304;11.822;13.04;14.258;15.793;17.8;20.561;24.651;31.493;38.335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;142;-1.7806;17.4272;0.11451;12.278;13.33;14.382;15.702;17.427;19.808;23.389;29.645;35.901;-1.4123;17.8651;0.1307;11.852;13.077;14.302;15.846;17.865;20.642;24.756;31.633;38.509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;143;-1.778;17.4799;0.11487;12.303;13.36;14.417;15.745;17.48;19.877;23.485;29.802;36.119;-1.4065;17.9306;0.13099;11.882;13.114;14.346;15.899;17.931;20.724;24.861;31.77;38.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
